Id,Table Type,Surface Material,Structural Material,Street / Avenue,Neighbourhood Id,Neighbourhood Name,Ward,Latitude,Longitude,Location,Geometry Point
48818,Square Picnic Table,Wood,Metal,127 AVENUE NW,3260,LAUDERDALE,Ward Anirniq,53.585729231371445,-113.51343202391163,"(53.585729231371445, -113.51343202391163)",POINT (-113.51343202391163 53.585729231371445)
36492,Square Picnic Table,Wood,Metal,CAPILANO PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Métis,53.56138847959199,-113.42067213243945,"(53.56138847959199, -113.42067213243945)",POINT (-113.42067213243945 53.56138847959199)
23767,Square Picnic Table,Wood,Aggregate,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.50886665211608,-113.55667524429518,"(53.50886665211608, -113.55667524429518)",POINT (-113.55667524429518 53.50886665211608)
5327,Square Picnic Table,Metal,Metal,38 AVENUE NW,6300,HILLVIEW,Ward Karhiio,53.471835841018816,-113.42690983365262,"(53.471835841018816, -113.42690983365262)",POINT (-113.42690983365262 53.471835841018816)
24231,Square Picnic Table,Wood,Wood,HERMITAGE ROAD NW,2590,OVERLANDERS,Ward Dene,53.581877915240554,-113.39015376385588,"(53.581877915240554, -113.39015376385588)",POINT (-113.39015376385588 53.581877915240554)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.52904784169553,-113.54662743125733,"(53.52904784169553, -113.54662743125733)",POINT (-113.54662743125733 53.52904784169553)
7923,Square Picnic Table,Composite,Metal,81 STREET NW,6230,FOREST HEIGHTS,Ward Métis,53.543309096799334,-113.45190408023797,"(53.543309096799334, -113.45190408023797)",POINT (-113.45190408023797 53.543309096799334)
34500,Square Picnic Table,Wood,Metal,WILLIAM HAWRELAK PARK ROAD NW,5370,RIVER VALLEY MAYFAIR,Ward papastew,53.527403779303846,-113.54632391757218,"(53.527403779303846, -113.54632391757218)",POINT (-113.54632391757218 53.527403779303846)
3129,Square Picnic Table,Wood,Metal,WALTERDALE HILL NW,5390,RIVER VALLEY WALTERDALE,Ward papastew,53.52724490187606,-113.50818839515414,"(53.52724490187606, -113.50818839515414)",POINT (-113.50818839515414 53.52724490187606)
6531,Square Picnic Table,Wood,Wood,WAGNER ROAD NW,6170,DAVIES INDUSTRIAL WEST,Ward Métis,53.49895095193357,-113.45190212864738,"(53.49895095193357, -113.45190212864738)",POINT (-113.45190212864738 53.49895095193357)
20775,Square Picnic Table,Wood,Metal,RUNDLE PARK ROAD NW,2650,RIVER VALLEY RUNDLE,Ward Métis,53.554156734770665,-113.3867024407524,"(53.554156734770665, -113.3867024407524)",POINT (-113.3867024407524 53.554156734770665)
3465,Round Picnic Table,Metal,Metal,99 STREET NW,1090,DOWNTOWN,Ward O-day'min,53.54405292800354,-113.4887870630059,"(53.54405292800354, -113.4887870630059)",POINT (-113.4887870630059 53.54405292800354)
9760,Square Picnic Table,Wood,Aggregate,110A AVENUE NW,4200,HIGH PARK,Ward Nakota Isga,53.55742340140764,-113.58816092614646,"(53.55742340140764, -113.58816092614646)",POINT (-113.58816092614646 53.55742340140764)
20656,Other Table,Wood,Wood,105A AVENUE NW,6270,GOLD BAR,Ward Métis,53.549612421452686,-113.40915392981393,"(53.549612421452686, -113.40915392981393)",POINT (-113.40915392981393 53.549612421452686)
306,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,Ward Métis,53.56178741696292,-113.45529597776367,"(53.56178741696292, -113.45529597776367)",POINT (-113.45529597776367 53.56178741696292)
96704,Square Picnic Table,Wood,Metal,CAPILANO PARK ROAD NW,6620,RIVER VALLEY GOLD BAR,Ward Métis,53.561446390353424,-113.42188034718652,"(53.561446390353424, -113.42188034718652)",POINT (-113.42188034718652 53.561446390353424)
23770,Square Picnic Table,Wood,Metal,SIR WILFRED LAURIER PARK ROAD NW,3382,RIVER VALLEY LAURIER,Ward sipiwiyiniwak,53.51176331619024,-113.54807087954649,"(53.51176331619024, -113.54807087954649)",POINT (-113.54807087954649 53.51176331619024)
24860,Square Picnic Table,Wood,Metal,CONNORS ROAD NW,6070,CLOVERDALE,Ward Métis,53.53641185137651,-113.47820029013653,"(53.53641185137651, -113.47820029013653)",POINT (-113.47820029013653 53.53641185137651)
1069,Square Picnic Table,Composite,Metal,102 AVENUE NW,3200,GLENORA,Ward Nakota Isga,53.543191164399815,-113.55611956348997,"(53.543191164399815, -113.55611956348997)",POINT (-113.55611956348997 53.543191164399815)
18729,Square Picnic Table,Wood,Aggregate,121 AVENUE NW,2550,MONTROSE,Ward Métis,53.575679891268365,-113.4500315796991,"(53.575679891268365, -113.4500315796991)",POINT (-113.4500315796991 53.575679891268365)
76079,Square Picnic Table,Composite,Metal,CHAPPELLE ROAD SW,5462,CHAPPELLE AREA,Ward Ipiihkoohkanipiaohtsi,53.399226687446784,-113.57223056659537,"(53.399226687446784, -113.57223056659537)",POINT (-113.57223056659537 53.399226687446784)
23141,Square Picnic Table,Metal,Metal,112 AVENUE NW,1240,VIRGINIA PARK,Ward Métis,53.56146455252399,-113.45640709257306,"(53.56146455252399, -113.45640709257306)",POINT (-113.45640709257306 53.56146455252399)
13992,Square Picnic Table,Wood,Metal,111 AVENUE NW,1190,RIVER VALLEY KINNAIRD,Ward Métis,53.559258351643834,-113.46607406983834,"(53.559258351643834, -113.46607406983834)",POINT (-113.46607406983834 53.559258351643834)
10727,Square Picnic Table,Wood,Metal,96A STREET NW,6070,CLOVERDALE,Ward Métis,53.53658381248286,-113.47739496051865,"(53.53658381248286, -113.47739496051865)",POINT (-113.47739496051865 53.53658381248286)
